id,text,label,source,notes
179,"Obviously by population it is Uruguay, no doubt. In recent times Croatia would deserve a honorable mention as they were runner-ups in 2018 plus two top 4 finishes. GDP is a metric quite correlated to population, therefore the answers would be the same. Uruguay counting the whole history and Croatia the last 25-30 years. There's also the case for Cape Verde and Curacau who qualified for the Fifa World Cup this year, Cape Verde with about 530k people and Curacau 180k.",analysis,r/soccer,
180,Came here to say Croatia - its only been a country since the early-mid nineties and fought a war.,hot_take,r/soccer,
181,"I don't know if that is such an achievement for Curacao. With 48 teams CONCACAF got 6 spots, and the 3 biggest countries Mexico, Canada, and the USA didn't take part in the qualification stage. It was actually impossible for not at least one country with less than 300 K people to qualify.",analysis,r/soccer,
182,"Uruguay wins this hands down. But I think the Netherlands and Belgium, despite the media narrative of them being bridesmaids or wasting golden generations, are basically overperforming relative to population in world terms. Portugal too. Basically those 3 countries have gotten quite close, with Netherlands and Belgium more consistent pre-1990 than Portugal.",analysis,r/soccer,
183,"What have Portugal ever accomplished in World Cup terms that would justify them being considered to have overachieved? They're a group stage/RO16 team who have very occasionally gone a bit deeper, which I think given their relative wealth, population, and domestic league is right where you'd expect them to be (if not slightly underwhelming).",analysis,r/soccer,
184,"Whilst none of that is incorrect, I still think its unfair to dismiss those victories. They still had to turn up and win, and their victory against all the odds in 1950 was incredible. In fact, professionalism is a big reason the World Cup was formed in the first place.",analysis,r/soccer,
185,"There were barely any victories to dismiss though, it was a VERY small tournament at only 13 teams, and because of all the no shows Uruguay was in a Group with only a very weak Bolivia which they crushed 8-0. They got into the final round with only 1 match under their belt, which is ridiculous really. The win against Brazil was good, yes, but then they only played 3 games before, and didn't even win all of them.",analysis,r/soccer,
186,"So whats the other teams excuses for not winning then? And its not like the team just won on a fluke, they won the gold medal for football at the FIFA organised olympics in 1924 and 1928 Olympics (22 and 17 team tournaments respectively, bigger than any World Cup until 1982) so they clearly were a strong team for the era regardless of the limited format of the early world cups.",analysis,r/soccer,
187,"The other teams in 1950 were weak, many of the strong t and pulled out or were banned so did not play. The excuse for the other teams is they were not even there. Let's put it a different way -- winning a 13 team WC is like getting to the semifinals in a 32 team world Cup. I think any wins before 1960s have asterics on them, and should be down weighted to a semi final appearance if we want to compare them to # of wins in modern era.",analysis,r/soccer,
188,"Historically its countries like Croatia and Uruguay. Countries, even small ones, need several things to punch above their weight. Two of those things are a great football culture and club based meretrices with incentives for youth development. The Charlie Munger quote applies. ""Show me the incentives and I'll show you the outcome"" Croatia is roughly the size of West Vrigina with about twice the population (3.8 mil). Croatia has a football pyramid with 38 professional clubs(many semi-pro but with pro training standards). The distance a youth player has to go for professional coaching is the equivalent of your local grocery store,",analysis,r/soccer,
189,Iceland made the top 32 while Curaao only made the top 48.,reaction,r/soccer,
190,Uruguay as they have won it before But I say Portugal Croatia Belgium Even Netherlands as they have 17-18m population,hot_take,r/soccer,
191,"Population is one thing, but Croatia has only been a country recently, and since the breakup of Yugoslavia in 1991, there have been 8 completed world cups I believe. Croatia has qualified for 6 of those, and has 1 runner up, and two 3rd place. For a country that was coming off of a brutal civil war, finishing in top 4 of half of all its opportunities is insane. Also, they must hold the record for percentage of knockout games won on shoot out",analysis,r/soccer,
192,criticism.,hot_take,r/soccer,
193,First part of your statement is true but good criticism...have I missed something?,reaction,r/soccer,
194,"If they were all equal hosts sure. Canada and Mexico COMBINED host 26/104 or merely 25% of the matches. The US is hosting 78/104 of the matches, including EVERY MATCH FROM QUARTER-FINALS ONWARDS. So if we're being honest, it's a US World Cup with two other countries to make it more palatable. Like a turd cake with a single nacho and poutine chip on top in an attempt to stave off criticism to it.",analysis,r/soccer,
195,"But that is on Mexico and Canada....not the US. Mexico put forth three stadium for the WC. All three were accepted. Canada had two bids rejected (Ottawa and Regina) but three sites contacted but no bid presented (Rogers Centre, McMahon Stadium, Saputo Stadium). I was hoping Mexico would offer more. It would make sense for Mexico to have had more stadiums and a larger footprint. And shit, even one more stadium in Canada would have been great. But Mexico offered nothing outside of the three sites and Canada's options were relatively uninspiring. So don't criticize the US for the obvious failings of its partner nations.",analysis,r/soccer,
196,"Yes, I agree Fifa should be expected to offer more and the demands are insane. But they don't offer help and the demands are what they are. They get by because countries are willing to bend over backwards to make it work because it is such a huge spectacle.",analysis,r/soccer,
197,"Agreed, but if you were Montreal what would you have done? Once again FIFA demands that no major events take place in the city a month before and during the WC. They would have had to cancel or move the F1 race that took place a couple of weeks ago. And they might have had to cancel other summer festivals that they have going on like the jazz and comedy festivals.",analysis,r/soccer,
198,"I don't know. But what I do know is that that is not America's fault or their problem. And complaining about it being this way to ""be more palatable"" is crap. The issues you are raising are fair and justified. Note: I know you didn't say these things. Someone else did. But I am looping it in here because it makes sense.",analysis,r/soccer,
199,As a Mexican I no longer wish to attached to this shit show of World Cup. It is somehow the mostly poorly managed and corrupt World Cup this century which is impressive when the last two host are Qatar and Russia. To make it worse it already turned a profit for FIFA so they are going to continue with the open corruption.,analysis,r/soccer,
200,"The ironic thing is, they play more of their games in the US than Mexico over the last like 20 years.",hot_take,r/soccer,
201,"They invented the peace prize just for Donald and this was after Donald stole the Club World Cup he kept at his office after he visited the club World Cup final lol. You cant make this shit up. Infantino was like, well just make another one for the footballers who actually won.",analysis,r/soccer,
202,"To be fair though, thats quite impressive. To be considered the most corrupt after the last two cant gave been easy.",hot_take,r/soccer,
203,"Broadcasting rights. The World Cup is one of the few events that turn a profit from being aired on TV instead of streaming. In addition you have corporate dropping hundreds of millions to place ads on the bangers hanging on the stands. Across four business years 70% of fifa revenue comes from selling broadcasting rights and ads space for the World Cup, in addition for the 2026 they jacked up the prices for both and still got broadcaster buying them up except for India were no one has yet to buy them.",analysis,r/soccer,
204,"I keep seeing this. But do you seriously think Mexico, in its current state politically, financially, and as a sport, could legitimately host the WC even if it were only 32 teams? Look at the stadiums they selected. Azteca was newly renovated and the other two are the newest stadiums that meet the size requirements. Mexico would have had to renovate multiple stadiums, or do what Brazil did and build all new ones to replace the the others.",analysis,r/soccer,
205,"This is the way the US always plays. Considering that both Canada and Mexico are only hosting 13 games each and the US has the rest or 78 games, Canada and Mexico were an afterthought and this should never have been allowed to happen, but FIFA is so friggen corrupt.",analysis,r/soccer,
206,Oh brother... If you're not up to date with the world cup situation just say it. The teams arriving in Mexico seem to be having a good time. For the most part we are a welcoming nation and so far I've only heard/seen positive things on social media regarding Mexico hosting for this world cup.,analysis,r/soccer,
207,I agree! I was scared of going to World Cup in Qatar! You can easily get killed,reaction,r/soccer,
208,"True, but I had tickets to that World Cup and decided I couldn't morally justify going. And as an American living in NYC, I pretty much feel the same way about it here. Will I get hyped and change my mind? Potentially, but it's all a bit sickening to say the least.",hot_take,r/soccer,
209,But the hosting concerns were still there! Those slaves didnt come back to life!,reaction,r/soccer,
210,"Cohosting not just hosting, but the USA was a great choice in 1994record attendance and I had a blast as did many others even if overall the nation ignored most of it. In 2026 basically the Orange Man and FIFAs price gouging ruined it. I was planning to go all over like I did in 94 but cant justify the cost vs. value.",analysis,r/soccer,
211,"The visa issues and hostilities toward fans were mostly unknowable in 2021 (?) when the bid was finalized. IMO, the blame for that falls squarely on those who have drastically changed US policy. The rest of it, yes, but Id say the US isnt even the worst host this decade for soccer culture and certainly not for lack of soccer infrastructure. I certainly agree that FIFA should do better. Theyve been an irredeemable corrupt mess since I started following football.",analysis,r/soccer,
212,"I dont mind the US per se for hosting football World Cups.. Theyre great at showmanship, football gets a reasonable amount of interest (albeit more at the youth level) and they do like big events which in turn elevates the importance of a WC even when the sport itself isnt what theyre usually into However, their current political climate does bleed heavily into the vibes of the tournament and it's def worse given how Fifa and their administration somehow manage to bring out the worst in each other. I dont think the 48 teams thing is great either because theres no hype for the group stages because its now forgiving for the big teams to a degree that they'd need to start trying to lose to go out",analysis,r/soccer,
213,brother just shut the fuck up and enjoy the world cup. the world is gonna come together in a few days to watch it. all of what ur saying are just outside noise. is it perfect? no. nothing is. just shut up and enjoy it like the rest of us are trying t,analysis,r/soccer,
214,"host, but when the USA was announced, the current government administration wasnt in office here in the US. If the current administration wasnt in office I suspect it would look a lot different and inviting for teams and fans. That said, FIFA would still be FIFA-ing, of course existing stadiums would still be used (what do you think this is? The Olympics? /s) Prices would still be out of control, public transportation, or rather lack there of, would all still be a thing. I will argue though that American fans have as much right to see a World Cup on their home soil as anywhere else seeing as how world is built into the nam",analysis,r/soccer,
215,"Most Canadians cant afford to go see the games with the current pricing structure. This World Cup more than any other one before it really has brought forth the worst in the current state of the world. The U.S. is a disaster. Other world cups have been hosted in questionable locations (Russia, Quatar)but this one seems worse than any other one. Visitors travel permits being cancelled, ICE, the absolute greed being put on display by FIFA, the FIFA world peace prize? you know right now if a local wants to go see a game in Toronto tickets start at $6k CND($4.3k USD). Thats just insane.",analysis,r/soccer,
216,"Look at Instagram and Twitter, and youll see how much fun people are having this past week during friendly matches",hot_take,r/soccer,
217,Honestly the travel is similar to Brazil with much better infrastructure and honestly less in most cases as the groups are mostly region,hot_take,r/soccer,
218,They shouldn't be hosting the WC across so many massive countries. The host really should have just been one of Mexico or USA.,hot_take,r/soccer,
219,"yup. it feels very off in the US. Infantino is a joke, and he should be fired for his trump arse kissing.",hot_take,r/soccer,
220,"I mean if fifa was willing to allow American stadiums to host the games as intended, this would still he a shitshow but less so. American football stadiums were built for car culture not public transport. Its why some of the bigger stadiums have parking for 30k plus cars. When you take that away you take away not only the primary mode of transport, but also the primary mode of pre gaming. If European fans or SA fans came for a tailgate, theyd understand, accept and even like it.",analysis,r/soccer,
221,when youre the greatest country in the world people will just hat lol.,reaction,r/soccer,
222,Dont forget ICE detaining and denying entry to some of the Iraq World Cup team and its associated staffing.,hot_take,r/soccer,
223,This world cup is trash. If you wanna see what a proper world cup looks like see South Africa 2010,hot_take,r/soccer,
